Name,S-BERT_Similarity,Jaccard_Similarity,Combined_Score
AUZ,0.3595271,0.03237410071942446,0.4871477897218663
AMK,0.40065098,0.027237354085603113,0.4864174131521455
ET,0.39431703,0.028,0.4863273823738098
AIV,0.4757536,0.018018018018018018,0.48623138542647837
CDH,0.4264686,0.024024024024024024,0.48604072962437306
CBJ,0.4264686,0.024024024024024024,0.48604072962437306
CHW,0.4264686,0.024024024024024024,0.48604072962437306
AMT,0.40125534,0.02702702702702703,0.4854493271660161
GT,0.36043096,0.032,0.48527720422744747
RM,0.33057183,0.03561643835616438,0.48500351453480656
XS,0.38469356,0.028985507246376812,0.4849607898705247
AGI,0.38469356,0.028985507246376812,0.4849607898705247
AAA,0.38469356,0.028985507246376812,0.4849607898705247
EZ,0.41433203,0.025341130604288498,0.48484433978854097
AET,0.41158864,0.0255863539445629,0.48420118010882884
CBR,0.34135664,0.034161490683229816,0.48404639526183557
CDP,0.34135664,0.034161490683229816,0.48404639526183557
CIE,0.34135664,0.034161490683229816,0.48404639526183557
ANA,0.36306182,0.031446540880503145,0.48363410845492616
ACY,0.45322227,0.02040816326530612,0.48361956233880954
ANL,0.34561935,0.033444816053511704,0.482662702284529
CDI,0.41085085,0.025423728813559324,0.48240531491020977
CHX,0.41085085,0.025423728813559324,0.48240531491020977
CBK,0.41085085,0.025423728813559324,0.48240531491020977
CGV,0.44524062,0.02119460500963391,0.4822665101645769
TK,0.3705069,0.030303030303030304,0.4819856549754287
AUE,0.40671015,0.02586206896551724,0.4819188697584744
BAO,0.32914826,0.03535353535353535,0.4818996896045376
AFR,0.38885802,0.028037383177570093,0.4818484222220483
BQE,0.46365327,0.018867924528301886,0.4817494059508701
CDX,0.44469014,0.0211864406779661,0.4817300969261234
CBZ,0.44469014,0.0211864406779661,0.4817300969261234
CIM,0.44469014,0.0211864406779661,0.4817300969261234
BGY,0.390817,0.027777777777777776,0.4817077411545647
BIW,0.390817,0.027777777777777776,0.4817077411545647
BWZ,0.3885445,0.028037383177570093,0.4815759395884576
BHX,0.35385782,0.03225806451612903,0.48139677432275585
BLN,0.35385782,0.03225806451612903,0.48139677432275585
BJV,0.35385782,0.03225806451612903,0.48139677432275585
BDF,0.44384524,0.021164021164021163,0.48083664875812626
BQH,0.41509676,0.024608501118568233,0.4803072920314951
PM,0.38200104,0.028629856850715747,0.48009562350977175
CAG,0.38692987,0.028011204481792718,0.4799867986964912
CNK,0.38115817,0.028708133971291867,0.47991884998157264
CKB,0.40212175,0.02608695652173913,0.47952781205591943
CEG,0.33458355,0.03430079155672823,0.4791489661526239
CFA,0.33458355,0.03430079155672823,0.4791489661526239
CIV,0.33458355,0.03430079155672823,0.4791489661526239
CCI,0.33458355,0.03430079155672823,0.4791489661526239
BTY,0.419143,0.023880597014925373,0.4786557277280893
CEA,0.40001845,0.026217228464419477,0.4786247876029782
CIP,0.40001845,0.026217228464419477,0.4786247876029782
CCC,0.40001845,0.026217228464419477,0.4786247876029782
UH,0.38261637,0.02830188679245283,0.47830180896902985
BNK,0.46630797,0.01805416248746239,0.4782788720508755
CGC,0.46197736,0.018581081081081082,0.4782562885735486
BBY,0.45401677,0.01948051948051948,0.4777238112765473
RD,0.37657547,0.028938906752411574,0.47757455436363094
OP,0.39675692,0.026455026455026454,0.4774785650470269
ADQ,0.4242658,0.023060796645702306,0.4772873736527481
AAV,0.4242658,0.023060796645702306,0.4772873736527481
BCG,0.37944257,0.02843601895734597,0.47649582319350037
CEO,0.3917088,0.026923076923076925,0.47641443408452544
CHE,0.3917088,0.026923076923076925,0.47641443408452544
CAR,0.3917088,0.026923076923076925,0.47641443408452544
CCP,0.3917088,0.026923076923076925,0.47641443408452544
CJQ,0.383385,0.027932960893854747,0.47635045414530364
ALN,0.38142306,0.028169014084507043,0.4763213217258453
AUX,0.441051,0.020833333333333332,0.47606029311815895
CAN,0.39822757,0.026052104208416832,0.4758959790986621
ADU,0.37824306,0.02849002849002849,0.4758368056384247
BEM,0.39473593,0.026415094339622643,0.47543861735541865
AEB,0.41406554,0.02403846153846154,0.4753637955738948
WD,0.41406554,0.02403846153846154,0.4753637955738948
BAA,0.40700743,0.02480916030534351,0.47470157460401985
BFU,0.4346134,0.02142857142857143,0.47469160420554024
BET,0.36181626,0.030303030303030304,0.4744326735987808
ADK,0.4148581,0.023809523809523808,0.4744271587757837
JH,0.45666456,0.018691588785046728,0.47442355985953427
IX,0.38502225,0.027450980392156862,0.47435130446564916
BX,0.3751213,0.02865329512893983,0.4742828847514866
SU,0.41541153,0.02368421052631579,0.47401841414602175
AWL,0.4812187,0.015625,0.4739906430244446
BNT,0.37244087,0.028938906752411574,0.47398119894637936
CKZ,0.40134692,0.025362318840579712,0.4737095010453376
CBO,0.42354983,0.02262443438914027,0.47356692913970255
CIB,0.42354983,0.02262443438914027,0.47356692913970255
CDM,0.42354983,0.02262443438914027,0.47356692913970255
AKU,0.44387752,0.020134228187919462,0.47355316261317104
JS,0.34867704,0.03178484107579462,0.47353429342540376
KF,0.43559906,0.021108179419525065,0.473273458896023
CFU,0.3494982,0.03162055335968379,0.473081526855235
CS,0.3655601,0.029605263157894735,0.47273228482196206
AEG,0.30766457,0.03664921465968586,0.47242764908605844
BK,0.439142,0.02050113895216401,0.47204261772453376
FW,0.41617095,0.023310023310023312,0.4720216871419431
AVW,0.39354268,0.026004728132387706,0.471487985871926
AZK,0.39808866,0.02544529262086514,0.47146688761905253
BOT,0.4223079,0.02243211334120425,0.471122128791764
BSP,0.4223079,0.02243211334120425,0.471122128791764
AJB,0.37366778,0.028328611898016998,0.47071437297056484
TI,0.38575995,0.02681992337164751,0.47051193698155924
AXA,0.44661304,0.01935483870967742,0.4703969179814862
BXH,0.34716547,0.031512605042016806,0.47028773121473166
CJM,0.49192318,0.013793103448275862,0.47028738967303574
CHM,0.38520494,0.02681992337164751,0.4700295863937144
CAZ,0.38520494,0.02681992337164751,0.4700295863937144
CCX,0.38520494,0.02681992337164751,0.4700295863937144
ADO,0.436978,0.020474137931034482,0.4699702051179162
BYL,0.36211237,0.02962962962962963,0.46990887187145375
AZG,0.33711702,0.032663316582914576,0.46972471921887227
AUB,0.40564606,0.024242424242424242,0.46949459635850155
AXQ,0.40851533,0.023890784982935155,0.4694916371395971
ARI,0.33705807,0.03260869565217391,0.46928568041842916
ABP,0.2533198,0.04285714285714286,0.46927320386682236
BDR,0.3981464,0.02510460251046025,0.4690981451437563
BOF,0.412875,0.02321724709784411,0.46849846621453267
BSB,0.412875,0.02321724709784411,0.46849846621453267
CDB,0.38853043,0.02619047619047619,0.468450681027912
CHQ,0.38853043,0.02619047619047619,0.468450681027912
CBD,0.38853043,0.02619047619047619,0.468450681027912
UF,0.39466894,0.025396825396825397,0.46815070392593505
ZW,0.3460338,0.031315240083507306,0.4679029335681979
AAH,0.3460338,0.031315240083507306,0.4679029335681979
K,0.30335718,0.0365296803652968,0.4678354262761329
BPT,0.45962375,0.017391304347826087,0.4677633615680363
CNU,0.3272328,0.033582089552238806,0.46765769648907785
BRS,0.31473917,0.03508771929824561,0.4674895193493157
RV,0.4761362,0.01532567049808429,0.4674482523481508
BSF,0.40788445,0.023655913978494623,0.46727574988078047
BOJ,0.40788445,0.023655913978494623,0.46727574988078047
CLP,0.365772,0.02877697841726619,0.4670356117135329
BQI,0.4317223,0.020703933747412008,0.4670340428688018
OH,0.37391376,0.027777777777777776,0.4670172525776757
BQO,0.40952593,0.023391812865497075,0.46682723934887443
FS,0.3848666,0.026373626373626374,0.4665668181927649
DE,0.41018626,0.023166023166023165,0.46579800600250715
COS,0.25260168,0.04245283018867924,0.4657784636852876
BBX,0.42665744,0.021141649048625793,0.46573995888611225
ABE,0.39154512,0.025423728813559324,0.465626816022194
BAG,0.47910053,0.014705882352941176,0.46562401827643896
CGU,0.39476633,0.025,0.4654178822040558
CY,0.4275029,0.020942408376963352,0.4650601561780999
FE,0.37138814,0.027777777777777776,0.46482225192917714
AZT,0.35082284,0.03021978021978022,0.46428727147343396
BVI,0.35673904,0.029469548133595286,0.4641023587384252
CHC,0.3830671,0.026239067055393587,0.46404751056137306
CEM,0.3830671,0.026239067055393587,0.46404751056137306
CCN,0.3830671,0.026239067055393587,0.46404751056137306
CAP,0.3830671,0.026239067055393587,0.46404751056137306
WS,0.3613745,0.02888086642599278,0.4639513667524937
AHI,0.3613745,0.02888086642599278,0.4639513667524937
YW,0.3613745,0.02888086642599278,0.4639513667524937
BCO,0.3647672,0.028409090909090908,0.46355034275488416
ADD,0.3759457,0.02702702702702703,0.4634528588604283
PD,0.42551166,0.020942408376963352,0.46332956511936885
QG,0.4019245,0.023809523809523808,0.46318661684081663
BPL,0.3885156,0.025423728813559324,0.4629938702462083
BTS,0.3733867,0.02727272727272727,0.4629733322967182
BYJ,0.3535076,0.0297029702970297,0.46295123424860507
BNL,0.19046529,0.04964539007092199,0.4628432495374206
BN,0.33882153,0.03146853146853147,0.46272312894567746
AQA,0.33769438,0.031578947368421054,0.46252747949800993
AVK,0.39323068,0.024752475247524754,0.46232581905799336
AYE,0.39711305,0.024242424242424242,0.46207861625786983
