Resume_ID,ML_Prediction_KFold,ML_Probability_KFold,S-BERT_Similarity,TF-IDF_Jaccard_Combined,True_Label
678,1,0.96,0.34776872,0.01129979634438764,1
767,1,0.96,0.40052602,0.026575657163211926,1
2158,1,0.96,0.313388,0.008715418603511263,1
1553,1,0.95,0.32309395,0.015685163685488928,1
705,1,0.95,0.2991357,0.024773965371064126,1
604,1,0.95,0.37589768,0.033596275812890444,1
1851,1,0.95,0.30527568,0.027203897366715135,1
804,1,0.95,0.4174735,0.031860172921815186,1
1751,1,0.95,0.30527568,0.027203897366715135,1
708,1,0.95,0.33337885,0.012202107620906323,1
862,1,0.95,0.34313095,0.015163638587394262,1
646,1,0.95,0.2991357,0.024773965371064126,1
182,1,0.95,0.3611165,0.0294200545257608,1
697,1,0.95,0.34313095,0.015163638587394262,1
655,1,0.95,0.349477,0.030847586483522448,1
721,1,0.95,0.29642546,0.031121334164913986,1
819,1,0.95,0.30711287,0.00737203530892276,1
752,1,0.95,0.3410946,0.03053399579949728,1
677,1,0.95,0.33035147,0.023300019189387542,1
873,1,0.95,0.33337885,0.012202107620906323,1
1114,1,0.95,0.40462163,0.03398094146505832,1
869,1,0.95,0.2991357,0.024773965371064126,1
1279,1,0.95,0.35669252,0.028473891736840222,1
1501,1,0.95,0.33873588,0.0042063864353781765,1
649,1,0.95,0.33337885,0.012202107620906323,1
609,1,0.95,0.45661741,0.03779858466324327,1
1603,1,0.95,0.32309395,0.015685163685488928,1
684,1,0.94,0.354982,0.010010346614995311,1
746,1,0.94,0.4538867,0.031048999934464118,1
1450,1,0.94,0.39013296,0.007012443950297751,1
614,1,0.94,0.354982,0.010010346614995311,1
607,1,0.94,0.3755389,0.03155580076004538,1
797,1,0.94,0.33053657,0.019897798207131674,1
1921,1,0.94,0.3213097,0.03251454300914548,1
2291,1,0.94,0.30292472,0.011167159433076095,1
2086,1,0.94,0.3069595,0.0,1
1212,1,0.94,0.33867934,0.01553171037053417,1
2190,1,0.94,0.30292472,0.011167159433076095,1
628,1,0.94,0.354982,0.010010346614995311,1
2030,1,0.94,0.32055712,0.014865049508720026,1
1909,1,0.94,0.3328878,0.044535681424514945,1
608,1,0.94,0.4078259,0.03614196988351045,1
2255,1,0.94,0.3069595,0.0,1
198,1,0.94,0.30796975,0.03389338781749472,1
1255,1,0.94,0.30509108,0.029484039780062393,1
724,1,0.94,0.33053657,0.019897798207131674,1
822,1,0.94,0.32246822,0.011888128681947911,1
2136,1,0.94,0.3069595,0.0,1
799,1,0.93,0.37110114,0.0270430369094866,1
1964,1,0.93,0.35866702,0.028498825468381485,1
824,1,0.93,0.29915646,0.019754748976359055,1
827,1,0.93,0.35282812,0.04245237109830614,1
499,1,0.93,0.33278424,0.030925520369362188,1
336,1,0.93,0.34471583,0.027569167729046044,1
765,1,0.93,0.39053705,0.03499007470838537,1
668,1,0.93,0.35491043,0.029542575849821104,1
663,1,0.93,0.35491043,0.029542575849821104,1
847,1,0.93,0.500011,0.07294814654554606,1
1762,1,0.93,0.30053103,0.024494067440839044,1
548,1,0.93,0.35120982,0.007524694167712705,1
1862,1,0.93,0.30053103,0.024494067440839044,1
1885,1,0.93,0.435194,0.03778054579090823,1
770,1,0.93,0.36497,0.011059402105760088,1
809,1,0.93,0.39053705,0.03499007470838537,1
1233,1,0.92,0.3223569,0.006190251317201795,1
836,1,0.92,0.3443485,0.038747611265950804,1
834,1,0.92,0.3214558,0.017484838156991103,1
1959,1,0.92,0.3470905,0.03814092743362381,1
777,1,0.92,0.35077447,0.030971336658299972,1
286,1,0.92,0.3233354,0.017297860796118922,1
1996,1,0.92,0.31048435,0.004191661308427601,1
1883,1,0.92,0.37337607,0.01566949911885643,1
2090,1,0.92,0.3015914,0.00899495087381439,1
1546,1,0.92,0.3686254,0.01578846896049219,1
695,1,0.92,0.31944364,0.02618918324417558,1
1724,1,0.92,0.38369375,0.015781739728578947,1
2259,1,0.92,0.3015914,0.00899495087381439,1
860,1,0.92,0.31944364,0.02618918324417558,1
2140,1,0.92,0.3015914,0.00899495087381439,1
1555,1,0.91,0.31858882,0.0,1
1237,1,0.91,0.30337238,0.0,1
828,1,0.91,0.3682699,0.03449130575074555,1
1337,1,0.91,0.33440173,0.016303917297423046,1
1342,1,0.91,0.30096275,0.010019426909051162,1
688,1,0.91,0.31758475,0.010521856210650682,1
756,1,0.91,0.4050911,0.05411557454461419,1
602,1,0.91,0.36205852,0.020172335407449466,1
308,1,0.91,0.31291068,0.004296054589722957,1
47,1,0.91,0.33972278,0.024576984951506606,1
2029,1,0.91,0.38322508,0.013406892952546936,1
710,1,0.91,0.3171123,0.036092110234460455,1
861,1,0.91,0.3931447,0.03264642230094379,1
696,1,0.91,0.3931447,0.03264642230094379,1
1453,1,0.91,0.35033357,0.023997497562389582,1
808,1,0.91,0.36205852,0.020172335407449466,1
1605,1,0.91,0.31858882,0.0,1
1341,1,0.91,0.30096275,0.010019426909051162,1
699,1,0.91,0.3171123,0.036092110234460455,1
41,1,0.91,0.33972278,0.024576984951506606,1
789,1,0.9,0.35925388,0.02633799415717707,1
817,1,0.9,0.34602815,0.03456393178302988,1
1500,1,0.9,0.34455538,0.013688926895412179,1
98,1,0.9,0.36006996,0.003979517174165673,1
